id,collection,dc.contributor.author[],dc.date.issued[],dc.description.abstract[en_US],dc.description[],dc.identifier.citation[],dc.identifier.citation[en_US],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[en_US],dc.publisher[],dc.publisher[en_US],dc.subject[],dc.subject[en_US],dc.title.alternative[en_US],dc.title[],dc.title[en_US],dc.type[],dc.type[en_US]
3636,123456789/2749,"Shukla, Ajai",2017-04-03,,,,"Business Standard,03 April 2017",http://hdl.handle.net/108/149133,http://128.9.32.51:8080/jspui/handle/108/149133,,,,,,DRDO||strategic partner||DPP-2016,,,Crucial defence ministry meeting today to look at â€œstrategic partnerâ€ policy,,
3650,123456789/2749,"Shukla, Ajai",2011-11-24,,,,,http://hdl.handle.net/108/84652,http://128.9.32.51:8080/jspui/handle/108/84652,,,,,MBT||Arjun tank,,,Improving the Arjun's already great suspension,,,
3629,123456789/2749,"Dighe, Sandip",2017-05-29,,,,"The Times of India, 29 May 2017",http://hdl.handle.net/108/149550,http://128.9.32.51:8080/jspui/handle/108/149550,,,,,,Defence||Defence Manufacturing||Strategic Partership||Self reliant,,,Jaitley pitches for India as defence manufacturing hub,,
3644,123456789/2749,The Hitavada,2020-10-01,,,,,http://hdl.handle.net/108/173109,http://128.9.32.51:8080/jspui/handle/108/173109,,,,,,155 mm x 39 Howitzer gun||ATAGS,,,Fresh Firing trials of indigenous 155 mm x 39 Howitzer gun successful,,
3637,123456789/2749,"Shukla, Ajai",2017-03-26,,,,"The Times of India, Delhi, 26 March 2017",http://hdl.handle.net/108/149132,http://128.9.32.51:8080/jspui/handle/108/149132,,,,,,125mm anti-tank ammunition||Jabalpur||Ordnance Factory blast,,,Blasts rock ordnance factory in Jabalpur,,
3630,123456789/2749,"Pandit, Rajat",2017-05-18,,,,"The Times of India, 18 May 2017",http://hdl.handle.net/108/149545,http://128.9.32.51:8080/jspui/handle/108/149545,,,,,,Ultra light howitzer||M777||ULH||BAE System||Bofors Gun,,,Bofors jinx breaks : 155mm artillery guns land today,,
3651,123456789/2749,"Shukla, Ajai",2011-11-24,,,,,http://hdl.handle.net/108/84651,http://128.9.32.51:8080/jspui/handle/108/84651,,,,,MBT||Arjun tank,,,Large orders can make Arjun tank cheaper,,,
3638,123456789/2749,,2017-03-15,,,,"The Times of India, 15 March 2017",http://hdl.handle.net/108/148943,http://128.9.32.51:8080/jspui/handle/108/148943,,,,,,Raksha Mantri||DRDO||Military Modernisation||Defence acquisition,,,"Back as raksha mantri, Jaitley will have to come out all guns blazing",,
3645,123456789/2749,Express service,2017-02-12,,,,"The Indian Express, 12 February 2017",http://hdl.handle.net/108/148937,http://128.9.32.51:8080/jspui/handle/108/148937,,,,,,Interceptor Missile||Missile Test,,,India's own interceptor missile soars high,,
3631,123456789/2749,"Singh, Sushant",2017-05-18,,,,"The Indian Express, 18 May 2017",http://hdl.handle.net/108/149544,http://128.9.32.51:8080/jspui/handle/108/149544,,,,,,Ultra light howitzer||M777||ULH||BAE System||Bofors Gun,,,"Army gets its first artillery guns three decades after Bofors, will be tested at Pokhran today",,
3639,123456789/2749,"Pubby, Manu",2017-03-14,,,,"The Economic Times, 14 March 2017",http://hdl.handle.net/108/148942,http://128.9.32.51:8080/jspui/handle/108/148942,,,,,,Defence minister||Military Reforms||Manoar Parrikar,,,Parrikar Leaves Defence with Key Tasks Unfinished,,
3652,123456789/2749,"Shukla, Ajai",2011-11-24,,,,,http://hdl.handle.net/108/84650,http://128.9.32.51:8080/jspui/handle/108/84650,,,,,Arjun tank||MBT,,,Upcoming modifications on the Arjun Mark II,,,
3646,123456789/2749,Navbharat,2017-03-02,,,,"Navbharat, 02 March 2017",http://hdl.handle.net/108/148936,http://128.9.32.51:8080/jspui/handle/108/148936,,,,,,DRDO Lab||ARDE||Interceptor Missile||HEMRL||Missile Test,,,Missile kaa safal parikshan,,
3653,123456789/2749,"Shukla, Ajai",2015-01-04,,,Shukla Ajai (jan 2015)Parrikar engages private defence industry to boost indigenous arms,,http://hdl.handle.net/108/84649,http://128.9.32.51:8080/jspui/handle/108/84649,en,,Indian express,,make category||Defence production||MSME||Defence Industry||Private defence industry,,,Parrikar engages private defence industry to boost indigenous arms,,Article,
